plant_key,Name,Definition,Applications,Advantages,Usage,Precautions,Visit_url
aloe_vera,Aloevera,Aloevera is a succulent plant species native to the Arabian Peninsula...,"Used in skincare, burns, digestive benefits, etc.","Soothes skin, promotes wound healing, antioxidant properties.",Applied topically or consumed as Aloe Vera juice.,"Excess consumption can cause diarrhea, consult doctor.",https://en.wikipedia.org/wiki/Aloe_vera
amla,Amla,Amla (Indian Gooseberry) is a powerful antioxidant-rich fruit.,"Enhances immunity, supports digestion, promotes hair growth.","Fights oxidative stress, boosts skin and hair health.","Consumed raw, as juice, or used in Ayurvedic products.",Excess intake may cause acidity; consult doctor.,https://en.wikipedia.org/wiki/Phyllanthus_emblica
bamboo,Bamboo,Fast-growing woody grass used in construction and medicine.,"Supports digestion, respiratory conditions, skincare benefits.","Rich in silica, has anti-inflammatory properties.",Bamboo shoots eaten cooked; extracts used in supplements.,Must be cooked properly to remove cyanide.,https://en.wikipedia.org/wiki/Bamboo
tulsi,Tulsi,Tulsi is a sacred plant used in Ayurveda for various health benefits.,"Used for treating cough, stress, digestive disorders.","Anti-inflammatory, antimicrobial, antioxidant, adaptogenic.","Tea, raw leaves, oils, and Ayurvedic formulations.",May slow blood clotting or affect fertility.,https://en.wikipedia.org/wiki/Ocimum_tenuiflorum
Tulasi,Tulasi,"Tulasi (Ocimum sanctum or Ocimum tenuiflorum) is a revered medicinal plant in Ayurvedic medicine and a sacred herb in Hindu culture. Often grown in homes and temples, it symbolizes purity and wellness.","Tulasi is widely used to treat respiratory ailments, colds, fever, stress, and digestive issues. It is also consumed as herbal tea and used in religious rituals for purification and protection.","Tulasi offers adaptogenic, antimicrobial, and anti-inflammatory properties. It strengthens the immune system, reduces stress levels, and improves respiratory and cardiovascular health.","Leaves are consumed fresh, brewed into teas, or used in Ayurvedic remedies like kadha. Tulasi oil and extracts are also found in wellness and skincare products.",High intake may affect blood clotting and fertility. Those with blood sugar issues or on medication should consult a healthcare provider. Always consume in moderation.,https://en.wikipedia.org/wiki/Ocimum_tenuiflorum
curry_Leaf,Curry Leaf,Curry Leaf (Murraya koenigii) is a tropical to subtropical tree native to India and Sri Lanka. Its aromatic leaves are widely used in South Asian cuisine and traditional medicine.,"Curry leaves are used to treat anemia, diabetes, and digestive issues. They are also applied in hair care for strengthening roots, preventing hair fall, and promoting hair growth.","Curry leaves are rich in iron, calcium, and antioxidants. They help regulate blood sugar levels, improve digestion, reduce oxidative stress, and support healthy hair and skin.","The fresh or dried leaves are added to dishes during tempering for flavor. In herbal medicine, curry leaf powder or juice is consumed for health benefits. The paste is applied to the scalp for hair nourishment.",Generally safe when used in moderate dietary amounts. Overconsumption in concentrated forms may lead to digestive issues. People on diabetes medication should monitor blood sugar levels when using curry leaves therapeutically.,https://en.wikipedia.org/wiki/Curry_tree
curry,Curry,"Curry typically refers to the leaves of the Curry Tree (Murraya koenigii), a plant native to India and commonly used in South Asian cuisine and traditional Ayurvedic medicine for its aromatic and therapeutic properties.","Curry leaves are used to manage blood sugar levels, cholesterol, indigestion, and oxidative stress. They are also beneficial in hair care, promoting hair growth and preventing premature greying.","Curry leaves possess antioxidant, antimicrobial, anti-inflammatory, and anti-diabetic properties. They are rich in essential nutrients like iron, calcium, and vitamins A, B, C, and E.","Curry leaves are used fresh or dried in cooking, especially for seasoning Indian dishes. In traditional medicine, leaf extracts, powders, or juices are consumed or applied topically for various health benefits.","Curry leaves are generally safe when consumed in food. However, high doses of extracts or supplements should be taken under medical supervision, especially for those managing blood sugar or on specific medications.",https://en.wikipedia.org/wiki/Curry_tree
betel,Betel,"Betel (Piper betle) is a vine from the Piperaceae family, whose leaves are traditionally used across Asia and parts of Africa for cultural, medicinal, and ceremonial purposes. The leaves are often chewed along with areca nut and other ingredients.","Betel leaves are used in traditional medicine to treat bad breath, wounds, infections, cough, and indigestion. They are also used as a mouth freshener and in religious rituals across South Asia.","Betel leaves have antimicrobial, antioxidant, and anti-inflammatory properties. They aid digestion, freshen breath, improve oral health, and may help with wound healing and respiratory conditions.","The fresh leaves are commonly chewed with areca nut (sometimes with lime or tobacco). In medicine, they are used in poultices or as infusions to treat minor infections and digestive issues.","Chewing betel leaves with areca nut and tobacco is linked to oral cancer and other health risks. The leaves themselves are generally safe, but combining them with carcinogenic substances should be avoided. Excessive use may also stain teeth and affect oral hygiene.",https://en.wikipedia.org/wiki/Betel
palak(Spinach),Palak,"Palak, commonly known as Spinach (Spinacia oleracea), is a leafy green vegetable native to central and western Asia. It is widely cultivated and consumed globally for its rich nutritional value.","Spinach is used in cooking and traditional medicine for improving vision, enhancing bone health, reducing anemia, and supporting cardiovascular function. It's also included in diets for weight management and detoxification.","Palak is rich in iron, calcium, folate, vitamin A, vitamin C, and antioxidants like lutein. It boosts immunity, promotes healthy skin and hair, strengthens bones, and supports heart health.","Spinach can be consumed raw in salads, or cooked in dishes like curries, soups, smoothies, and stews. It is also used in juices and herbal preparations for detox and nutritional therapy.",Excessive intake of raw spinach may interfere with calcium absorption due to oxalates and could contribute to kidney stone formation in susceptible individuals. Those on blood thinners should moderate intake due to its high vitamin K content.,https://en.wikipedia.org/wiki/Spinach
coriender,Coriander,"Coriander (Coriandrum sativum) is an annual herb in the Apiaceae family. It is widely cultivated for its fresh leaves (cilantro) and dried seeds, both of which are commonly used in culinary and medicinal applications.","Coriander is used to treat digestive disorders, control blood sugar, reduce inflammation, and support detoxification. The leaves and seeds are both used in cooking and traditional herbal medicine.","Coriander has antimicrobial, anti-inflammatory, and antioxidant properties. It supports healthy digestion, reduces bloating, helps manage cholesterol, and may assist in regulating blood sugar levels.",Fresh coriander leaves (cilantro) are added to dishes for flavor and garnish. The seeds are used whole or ground in spice blends. Coriander tea and seed decoctions are used to aid digestion and detox the body.,"Coriander is generally safe when consumed in food. Some individuals may experience allergic reactions or skin sensitivity. Large medicinal doses should be taken with caution, especially during pregnancy.",https://en.wikipedia.org/wiki/Coriander
ashoka,Ashoka,Ashoka (Saraca asoca) is a flowering tree native to the Indian subcontinent. It holds religious significance in Hinduism and Buddhism and is widely used in traditional medicine for its therapeutic properties.,"Ashoka is used to treat gynecological issues, particularly in regulating menstrual cycles, alleviating pain, and managing uterine disorders. It is also used to treat stress, anxiety, and skin conditions.","Ashoka has anti-inflammatory, analgesic, and antidepressant properties. It helps to regulate hormonal balance, reduce menstrual cramps, and manage conditions like dysmenorrhea, menorrhagia, and leucorrhea.","Ashoka bark, leaves, and flowers are used in herbal medicine as powders, decoctions, or extracts. The plant is often used in Ayurvedic formulations to support women's health and improve emotional well-being.","Pregnant women should consult a healthcare provider before using Ashoka, as it can have effects on uterine tone. Overuse can cause digestive disturbances, so it's important to use it under proper guidance.",https://en.wikipedia.org/wiki/Saraca_asoca
seethapala,Seethapala,"Seethapala (Sechium edule), also known as Chayote or Vegetable Pear, is a green, wrinkled fruit that is technically a type of squash. It is native to Mesoamerica and is widely cultivated in tropical and subtropical regions.","Seethapala is used to manage cholesterol levels, promote digestion, improve skin health, and reduce inflammation. It is also used in traditional medicine to support liver health and detoxification.","Seethapala is rich in vitamins A and C, folate, and fiber. It promotes heart health by lowering cholesterol, improves digestive function, and supports skin health with its antioxidant properties.","The fruit is commonly boiled, steamed, or stir-fried. It is often used in soups, stews, and salads. The young shoots and leaves can also be consumed, and extracts are used in herbal remedies.","Seethapala is generally safe when consumed in moderate amounts. However, individuals with sensitive stomachs may experience digestive discomfort if consumed in large quantities. It should be consumed in moderation during pregnancy or while breastfeeding.",https://en.wikipedia.org/wiki/Sechium_edule
lemon,Lemon,"Lemon (Citrus limon) is a small, yellow citrus fruit known for its tangy flavor and high vitamin C content. Native to Asia, it is widely used for its culinary, medicinal, and cosmetic applications.","Lemon is used to treat sore throats, indigestion, skin issues, and as a natural detoxifier. It is also commonly used to improve digestion, boost immunity, and freshen breath.","Lemon is rich in vitamin C, antioxidants, and citric acid. It supports immune function, aids in digestion, promotes skin health, and helps maintain hydration. Its antibacterial and antiviral properties help fight infections.","Lemon juice is commonly consumed in water, teas, or as a flavoring agent in cooking. Lemon zest is also used in cooking and baking. Topically, lemon juice can be used to brighten skin and lighten dark spots.",Excessive consumption of lemon juice may cause dental enamel erosion due to its acidity. It may also irritate the skin in some individuals when exposed to sunlight. People with citrus allergies should avoid lemon.,https://en.wikipedia.org/wiki/Lemon
pomegranate,Pomegranate,"Pomegranate (Punica granatum) is a fruit-bearing deciduous shrub native to the Mediterranean region, known for its tangy seeds and rich antioxidant content. The fruit is highly regarded for its medicinal, culinary, and health benefits.","Pomegranate is used for heart health, improving digestion, and managing blood sugar levels. It is also used in skincare for its anti-aging properties and as an anti-inflammatory agent.","Pomegranate is rich in vitamin C, potassium, and antioxidants like polyphenols, which help reduce oxidative stress, lower blood pressure, and improve heart health. It also has anti-cancer and anti-inflammatory properties.","Pomegranate seeds and juice are consumed directly or added to salads, smoothies, and desserts. Pomegranate extracts are also used in supplements for their health benefits, and its juice is widely consumed as a drink.","Pomegranate is generally safe, but excessive consumption of pomegranate juice may interact with medications, especially blood pressure and cholesterol-lowering drugs. People with known allergies to pomegranate should avoid it.",https://en.wikipedia.org/wiki/Pomegranate
pomoegranate,Pomoegranate,"Pomegranate (Punica granatum) is a fruit-bearing deciduous shrub native to the Mediterranean region, known for its tangy seeds and rich antioxidant content. The fruit is highly regarded for its medicinal, culinary, and health benefits.","Pomegranate is used for heart health, improving digestion, and managing blood sugar levels. It is also used in skincare for its anti-aging properties and as an anti-inflammatory agent.","Pomegranate is rich in vitamin C, potassium, and antioxidants like polyphenols, which help reduce oxidative stress, lower blood pressure, and improve heart health. It also has anti-cancer and anti-inflammatory properties.","Pomegranate seeds and juice are consumed directly or added to salads, smoothies, and desserts. Pomegranate extracts are also used in supplements for their health benefits, and its juice is widely consumed as a drink.","Pomegranate is generally safe, but excessive consumption of pomegranate juice may interact with medications, especially blood pressure and cholesterol-lowering drugs. People with known allergies to pomegranate should avoid it.",https://en.wikipedia.org/wiki/Pomegranate
pappaya,Pappaya,"Papaya (Carica papaya) is a tropical fruit-bearing plant native to Central America. It is widely cultivated for its sweet, orange-fleshed fruit and medicinal properties, particularly in digestive and skin health.","Papaya is used to improve digestion, treat constipation, promote skin healing, and reduce inflammation. Its enzyme papain helps in breaking down proteins, making it beneficial for gastrointestinal support.","Papaya is rich in vitamins A, C, and E, folate, fiber, and the enzyme papain. It supports eye health, boosts immunity, improves skin tone, and promotes wound healing. Green papaya is often used for menstrual pain and as a meat tenderizer.",The ripe fruit is eaten raw or used in smoothies and salads. Green papaya is used in cooking or grated into curries. Papaya leaf juice is traditionally consumed to increase platelet count and support recovery from dengue fever.,Excessive consumption may cause digestive discomfort or diarrhea. Pregnant women should avoid unripe papaya as it may stimulate uterine contractions. People allergic to latex may also be allergic to papaya.,https://en.wikipedia.org/wiki/Papaya
Papaya,Papaya,"Papaya (Carica papaya) is a tropical fruit-bearing plant native to Central America. It is widely cultivated for its sweet, orange-fleshed fruit and medicinal properties, particularly in digestive and skin health.","Papaya is used to improve digestion, treat constipation, promote skin healing, and reduce inflammation. Its enzyme papain helps in breaking down proteins, making it beneficial for gastrointestinal support.","Papaya is rich in vitamins A, C, and E, folate, fiber, and the enzyme papain. It supports eye health, boosts immunity, improves skin tone, and promotes wound healing. Green papaya is often used for menstrual pain and as a meat tenderizer.",The ripe fruit is eaten raw or used in smoothies and salads. Green papaya is used in cooking or grated into curries. Papaya leaf juice is traditionally consumed to increase platelet count and support recovery from dengue fever.,Excessive consumption may cause digestive discomfort or diarrhea. Pregnant women should avoid unripe papaya as it may stimulate uterine contractions. People allergic to latex may also be allergic to papaya.,https://en.wikipedia.org/wiki/Papaya
jackfruit,Jackfruit,"Jackfruit (Artocarpus heterophyllus) is the largest tree-borne fruit in the world, native to South and Southeast Asia. It is known for its distinct sweet aroma, fibrous texture, and nutritional benefits. Both ripe and unripe fruits are consumed.","Jackfruit is used in treating digestive disorders, anemia, skin issues, and high blood pressure. Unripe jackfruit is often used as a meat substitute due to its texture, while the seeds are also consumed for their nutrient content.","Jackfruit is rich in dietary fiber, vitamin C, potassium, and antioxidants. It helps regulate blood sugar levels, supports digestion, boosts immunity, and promotes skin and bone health.","The ripe fruit is eaten fresh or used in desserts, while the unripe fruit is cooked in savory dishes as a meat alternative. Seeds can be boiled, roasted, or ground into flour. The leaves and roots are used in traditional remedies.","Generally safe, but may cause allergic reactions in people sensitive to birch pollen or latex. Diabetics should monitor blood sugar levels when consuming in large amounts. Seeds must be cooked before consumption as raw seeds may be toxic.",https://en.wikipedia.org/wiki/Jackfruit
Insulin,Insulin Plant,"The Insulin Plant (Costus igneus) is a medicinal herb known for its ability to naturally lower blood sugar levels. Native to Southeast Asia, it is cultivated in tropical regions and widely used in traditional medicine to support diabetes management.","The Insulin plant is primarily used in managing diabetes by helping to regulate blood glucose levels. It is also used to support kidney health, improve digestion, and treat minor infections and inflammations.","Leaves of the Insulin plant are rich in corosolic acid, which mimics insulin and helps reduce blood sugar. It also has antioxidant, anti-inflammatory, and diuretic properties that support overall metabolic and kidney health.","Fresh leaves are chewed daily or consumed as herbal tea or in powdered form. Typically, one leaf per day is recommended for individuals with high blood sugar, but dosage varies based on individual health conditions.","It should be taken under medical supervision, especially for individuals already on diabetes medication, to avoid hypoglycemia. Pregnant and breastfeeding women should consult a healthcare provider before use.",https://en.wikipedia.org/wiki/Costus_igneus
pepper,Pepper,"Pepper, especially black pepper, is a flowering vine whose fruit is dried and used as a spice with medicinal properties.","Used as a spice and in medicine to improve digestion, treat coughs, and stimulate metabolism.","Antioxidant, antimicrobial, and digestive stimulant.","Used as a spice in cooking�whole, crushed, or ground. In traditional remedies, it is added to teas, tonics, and decoctions for colds and digestion. Pepper oil is also used in aromatherapy and topical treatments.",Excessive consumption may cause gastrointestinal irritation or heartburn. It may interact with certain medications due to its bioenhancing properties. People with ulcers or acid reflux should consume it in moderation.,https://en.wikipedia.org/wiki/Black_pepper
Pepper,Pepper,"Pepper, especially black pepper, is a flowering vine whose fruit is dried and used as a spice with medicinal properties.","Used as a spice and in medicine to improve digestion, treat coughs, and stimulate metabolism.","Antioxidant, antimicrobial, and digestive stimulant.","Used as a spice in cooking�whole, crushed, or ground. In traditional remedies, it is added to teas, tonics, and decoctions for colds and digestion. Pepper oil is also used in aromatherapy and topical treatments.",Excessive consumption may cause gastrointestinal irritation or heartburn. It may interact with certain medications due to its bioenhancing properties. People with ulcers or acid reflux should consume it in moderation.,https://en.wikipedia.org/wiki/Black_pepper
raktachandini,Raktachandini (Red Sandalwood),"Raktachandini, also known as Red Sandalwood (Pterocarpus santalinus), is a valuable medicinal tree native to India. Unlike white sandalwood, it has a deep red heartwood and is known for its therapeutic and cosmetic uses in Ayurveda and Unani medicine.","Raktachandini is used to treat skin diseases, reduce inflammation, purify blood, and manage fever and digestive issues. It is also applied externally for acne, blemishes, and skin pigmentation.","It possesses anti-inflammatory, antimicrobial, astringent, and blood-purifying properties. It helps in treating wounds, improving complexion, relieving rashes, and supporting liver health.","The powdered wood is used in face packs, pastes, or mixed with rose water and applied to the skin. Internally, it is used in decoctions and herbal formulations to purify the blood and cool the body.","Should be used in moderation and under medical supervision when taken internally. Topical use is generally safe, but a patch test is recommended to rule out allergic reactions.",https://en.wikipedia.org/wiki/Pterocarpus_santalinus
Jasmine,Jasmine,"Jasmine (Jasminum spp.) is a genus of shrubs and vines in the olive family, known for its fragrant white or yellow flowers. Native to tropical and warm temperate regions, it is widely cultivated for ornamental, therapeutic, and cultural purposes.","Jasmine is used in aromatherapy to reduce stress, anxiety, and depression. It is also used in skincare for moisturizing and soothing the skin. In traditional medicine, it is used for digestive issues, fever, and as an aphrodisiac.","Jasmine has calming, antiseptic, and anti-inflammatory properties. It supports emotional balance, improves skin health, helps relieve headaches, and may aid in hormonal regulation.","Jasmine flowers are used in teas, oils, and perfumes. Jasmine essential oil is applied in aromatherapy or diluted for topical use. Fresh flowers are also used in hair and skin preparations.",Jasmine essential oil should be diluted before topical use to prevent skin irritation. Inhaling too much fragrance may cause headaches or dizziness in sensitive individuals. Pregnant women should consult a doctor before use.,https://en.wikipedia.org/wiki/Jasmine
neem,Neem,"Neem (Azadirachta indica) is a fast-growing, evergreen tree native to the Indian subcontinent. Revered in Ayurveda, it is known for its powerful medicinal properties and is used in treating a wide range of health and skin conditions.","Neem is used to treat skin diseases, fever, dental issues, and infections. It is commonly applied for acne, eczema, and wounds. It also helps manage diabetes, purify blood, and repel insects.","Neem has antibacterial, antifungal, antiviral, anti-inflammatory, and blood-purifying properties. It promotes skin health, boosts immunity, supports oral hygiene, and controls blood sugar levels.",Neem leaves are consumed fresh or in powder form. Neem oil is used topically for skin and hair care. Its twigs are traditionally used as natural toothbrushes. Neem extracts are also used in herbal medicines and pest control.,"High doses can be toxic, especially in children and during pregnancy. Neem oil should not be ingested. People with autoimmune diseases should consult a healthcare provider before using neem internally.",https://en.wikipedia.org/wiki/Azadirachta_indica
castor,Castor,"Castor (Ricinus communis) is a fast-growing, perennial flowering plant native to the southeastern Mediterranean Basin, Eastern Africa, and India. It is primarily cultivated for its oil-rich seeds, from which castor oil is extracted.","Castor is widely used for treating constipation, skin disorders, hair fall, joint pain, and inflammation. Castor oil is also used in cosmetics, pharmaceuticals, and industrial lubricants.","Castor oil has powerful anti-inflammatory, antimicrobial, and laxative properties. It promotes hair growth, moisturizes skin, relieves joint pain, and supports wound healing. It also acts as a natural detoxifier.",Castor oil is applied topically for skin and hair care. It is also used as a mild laxative when taken orally in controlled doses. Castor leaves are used in poultices for pain and inflammation.,"Raw castor seeds are toxic due to ricin and should never be consumed. Oral consumption of castor oil should be limited and used only under medical supervision. Pregnant women should avoid internal use, as it may induce labor.",https://en.wikipedia.org/wiki/Castor_oil_plant
Nooni,Nooni,"Nooni (Morinda citrifolia) is a small evergreen tree native to Southeast Asia and Australasia. It produces a distinctive, strong-smelling fruit known for its traditional medicinal uses and health-promoting properties.","Nooni is used to boost immunity, relieve pain, support digestion, and reduce inflammation. It is also traditionally used to manage high blood pressure, arthritis, infections, and skin conditions.","Nooni contains antioxidants, vitamin C, potassium, and compounds like scopoletin and damnacanthal. It has anti-inflammatory, antibacterial, antifungal, and immune-boosting effects, and may help reduce oxidative stress.","The fruit is commonly consumed as juice, capsules, or in fermented form. Noni leaves are used as poultices for wounds and joint pain. Noni extract is also used in skincare and wellness products.",Nooni juice is high in potassium and should be avoided by people with kidney disorders. Overconsumption may cause liver issues in rare cases. Pregnant or breastfeeding women should consult a doctor before use.,https://en.wikipedia.org/wiki/Morinda_citrifolia
Henna,Henna,"Henna (Lawsonia inermis) is a flowering plant native to North Africa, the Middle East, and South Asia. Its leaves are dried and ground into a powder to produce a natural dye used traditionally for body art and hair coloring.","Henna is used for temporary tattoos (mehndi), hair dyeing, cooling the body, and treating scalp conditions. It is also used in traditional medicine to relieve headaches, fevers, and skin irritations.","Henna has antifungal, antibacterial, and cooling properties. It strengthens hair, promotes scalp health, helps treat dandruff, and provides a natural, chemical-free coloring alternative.","The powdered leaves are mixed with water or other herbal infusions to make a paste, which is then applied to skin or hair. It is left on for a few hours before being washed off to leave a reddish-brown stain.","Only natural henna (greenish-brown) is safe for use. Black henna may contain harmful chemicals like PPD, which can cause allergic reactions or skin burns. A patch test is recommended before full application.",https://www.kew.org/plants/henna-tree
Mango,Mango,"Mango (Mangifera indica) is a tropical fruit-bearing tree native to South Asia, widely cultivated for its sweet, juicy fruit. It holds cultural, culinary, and medicinal importance in many parts of the world.","Mango is consumed fresh, in juices, smoothies, pickles, and desserts. Medicinally, it is used to improve digestion, support heart health, and boost immunity. Mango leaves and bark are used in traditional remedies for diabetes and oral health.","Mango is rich in vitamins A and C, antioxidants, and fiber. It promotes eye health, supports skin rejuvenation, aids digestion, and boosts immunity. The leaves also have antidiabetic and antimicrobial properties.",The ripe fruit is eaten fresh or processed into various products. The unripe fruit is used in pickles and chutneys. Mango leaves are used in decoctions for managing blood sugar and oral health issues.,Excess consumption of mango can lead to heat in the body or digestive discomfort. Diabetics should monitor their intake due to its natural sugar content. Mango latex (sap) may cause skin irritation in sensitive individuals.,https://en.wikipedia.org/wiki/Mangifera_indica
doddapatre,Doddapatre,"Doddapatre (Plectranthus amboinicus), commonly known as Indian Borage, is a herbaceous plant native to India and Southeast Asia. It has thick, fleshy leaves with a strong oregano-like scent and is used in traditional medicine and cooking.","Doddapatre is used to treat respiratory problems like cough and asthma, digestive issues, and as an anti-inflammatory agent. It is also used as a natural remedy for headaches, fever, and sore throat.","Doddapatre has antimicrobial, antifungal, and anti-inflammatory properties. It helps with digestion, boosts immunity, relieves respiratory conditions, and supports wound healing.","The leaves are consumed fresh or dried, typically as part of herbal teas, decoctions, or in culinary dishes. It is also applied topically for treating skin conditions like wounds and rashes.","Excessive consumption of Doddapatre may cause digestive discomfort. Pregnant women should consult a healthcare provider before using it medicinally, and it should be used in moderation to avoid any adverse reactions.",https://en.wikipedia.org/wiki/Plectranthus_amboinicus
doddpathre,Doddpathre,"Doddapatre (Plectranthus amboinicus), commonly known as Indian Borage, is a herbaceous plant native to India and Southeast Asia. It has thick, fleshy leaves with a strong oregano-like scent and is used in traditional medicine and cooking.","Doddapatre is used to treat respiratory problems like cough and asthma, digestive issues, and as an anti-inflammatory agent. It is also used as a natural remedy for headaches, fever, and sore throat.","Doddapatre has antimicrobial, antifungal, and anti-inflammatory properties. It helps with digestion, boosts immunity, relieves respiratory conditions, and supports wound healing.","The leaves are consumed fresh or dried, typically as part of herbal teas, decoctions, or in culinary dishes. It is also applied topically for treating skin conditions like wounds and rashes.","Excessive consumption of Doddapatre may cause digestive discomfort. Pregnant women should consult a healthcare provider before using it medicinally, and it should be used in moderation to avoid any adverse reactions.",https://en.wikipedia.org/wiki/Plectranthus_amboinicus
amruta_Balli,Amruta Balli,"Amruta Balli, scientifically known as *Tinospora cordifolia*, is a perennial climbing shrub native to India and Southeast Asia. Revered in Ayurvedic medicine, it is known for its potent immunomodulatory and therapeutic properties.","Amruta Balli is used to enhance immunity, treat fever, manage diabetes, detoxify the body, and support liver and kidney health. It is also utilized in managing respiratory issues, digestive disorders, and skin conditions.","The plant exhibits antioxidant, anti-inflammatory, antimicrobial, antipyretic, antidiabetic, hepatoprotective, and immunomodulatory effects. It is also known for its adaptogenic properties, helping the body combat stress and fatigue.","The stem and root extracts are commonly consumed in the form of powders, capsules, or decoctions. Fresh juice from the plant is also used. It is often combined with other herbs like Tulsi and Amla in traditional formulations.","Excessive consumption may lead to digestive discomfort. Pregnant and breastfeeding women should consult a healthcare provider before use. It is advisable to use under the guidance of a qualified practitioner, especially when combining with other medications.",https://en.wikipedia.org/wiki/Tinospora_cordifolia
